,County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash
1156,San Benito,August,2020,9.2%,2710,5363,639042
1157,San Bernardino,August,2020,10.8%,165633,337335,41550044
1158,San Diego,August,2020,9.9%,199506,343582,40637298
1159,San Francisco,August,2020,8.8%,59874,83851,8957228
1160,San Joaquin,August,2020,11.9%,49805,99870,11604026
1161,San Luis Obispo,August,2020,7.8%,10684,16528,2042277
1162,San Mateo,August,2020,7.5%,16754,29298,3524428
1163,Santa Barbara,August,2020,8.0%,26150,44636,5681208
1164,Santa Clara,August,2020,7.5%,61771,101042,12146928
1165,Santa Cruz,August,2020,8.6%,17535,27217,3524874
1166,Shasta,August,2020,8.3%,14802,24868,2694897
1167,Sierra,August,2020,7.7%,169,255,28426
1168,Siskiyou,August,2020,9.1%,4205,7535,850769
1169,Solano,August,2020,10.3%,26513,44318,5427016
1170,Sonoma,August,2020,7.7%,20574,32476,3908614
1171,Stanislaus,August,2020,10.9%,38611,73675,8546387
1172,Sutter,August,2020,10.7%,5744,11737,1385974
