,County,Year,Month,Cases,Deaths
698,Stanislaus,2020,September,478282,9530
699,Stanislaus,2021,April,1318660,22394
700,Stanislaus,2021,February,1512836,25152
701,Stanislaus,2021,January,1399438,22580
702,Stanislaus,2021,March,1787458,30164
703,Sutter,2020,April,702,55
704,Sutter,2020,August,34492,230
705,Sutter,2020,December,159314,1133
706,Sutter,2020,July,14610,128
707,Sutter,2020,June,2881,76
708,Sutter,2020,March,33,0
709,Sutter,2020,May,1151,62
710,Sutter,2020,November,74209,394
711,Sutter,2020,October,56077,368
712,Sutter,2020,September,47909,308
713,Sutter,2021,April,203102,2354
714,Sutter,2021,February,242492,2609
715,Sutter,2021,January,232109,2305
716,Sutter,2021,March,279311,3146
717,Tehama,2020,April,28,5
718,Tehama,2020,August,9695,31
719,Tehama,2020,December,73825,948
720,Tehama,2020,July,4055,31
721,Tehama,2020,June,795,30
722,Tehama,2020,May,64,31
723,Tehama,2020,November,37885,599
724,Tehama,2020,October,23433,238
725,Tehama,2020,September,14690,78
726,Tehama,2021,April,106202,1145
727,Tehama,2021,February,124820,1391
728,Tehama,2021,January,114091,1300
729,Tehama,2021,March,144526,1424
730,Trinity,2020,August,257,0
731,Trinity,2020,December,6492,45
732,Trinity,2020,July,104,0
733,Trinity,2020,June,86,0
734,Trinity,2020,May,42,0
735,Trinity,2020,November,2451,0
736,Trinity,2020,October,725,0
737,Trinity,2020,September,464,0
738,Trinity,2021,April,7140,66
739,Trinity,2021,February,7724,140
740,Trinity,2021,January,7945,130
741,Trinity,2021,March,9544,117
742,Tulare,2020,April,9810,513
743,Tulare,2020,August,373631,6406
744,Tulare,2020,December,841500,10723
745,Tulare,2020,July,205587,4854
746,Tulare,2020,June,85452,3136
747,Tulare,2020,March,308,4
748,Tulare,2020,May,41808,1905
749,Tulare,2020,November,576908,9039
750,Tulare,2020,October,529963,8565
751,Tulare,2020,September,460180,7556
752,Tulare,2021,April,1083922,18125
753,Tulare,2021,February,1297657,19196
754,Tulare,2021,January,1234937,15276
755,Tulare,2021,March,1506778,24599
756,Tuolumne,2020,April,57,0
757,Tuolumne,2020,August,5063,62
758,Tuolumne,2020,December,61900,541
759,Tuolumne,2020,July,2680,10
760,Tuolumne,2020,June,347,0
761,Tuolumne,2020,March,3,0
762,Tuolumne,2020,May,86,0
763,Tuolumne,2020,November,17828,232
764,Tuolumne,2020,October,7826,131
765,Tuolumne,2020,September,6393,96
766,Tuolumne,2021,April,89303,1398
767,Tuolumne,2021,February,106384,1512
768,Tuolumne,2021,January,102334,1106
769,Tuolumne,2021,March,123954,1859
770,Unknown,2020,April,2,3
771,Unknown,2020,March,3,0
772,Unknown,2020,May,2,1
773,Ventura,2020,April,10831,347
774,Ventura,2020,August,287187,2974
775,Ventura,2020,December,888105,6538
776,Ventura,2020,July,161030,1796
